hjd,camera,mag,mag_err,flux,flux_err
2457760.75656,bd,11.707,0.02,79.642,1.465
2457975.99714,bd,10.93,0.02,162.828,2.996
2457889.11427,bc,11.103,0.02,139.618,2.569
2457883.11583,bc,11.722,0.02,78.971,1.453
2458430.91688,bd,11.276,0.02,118.458,2.18
2457317.8794,bc,11.313,0.02,115.092,2.118
2457298.87098,bd,11.136,0.02,134.804,2.48
2457241.99882,bd,11.305,0.02,115.31,2.122
2457314.81975,bc,11.633,0.02,85.763,1.578
2457687.92286,bc,10.94,0.02,162.266,2.986
2457715.8439,bc,11.509,0.02,96.092,1.768
2457165.11999,bd,11.3,0.02,115.903,2.133
2458020.92549,bc,11.394,0.02,106.795,1.965
2457983.94414,bd,11.583,0.02,89.255,1.642
2457361.79778,bc,11.387,0.02,107.57,1.979
2457933.03349,bd,11.188,0.02,128.479,2.364
2457189.06765,bd,11.689,0.02,80.988,1.49
2457406.71369,bd,11.638,0.02,84.885,1.562
2457272.09587,bd,11.7,0.02,80.124,1.474
2457205.02587,bd,11.506,0.02,95.824,1.763
2457619.96947,bd,11.546,0.02,92.356,1.699
2457969.89743,bc,11.676,0.02,82.364,1.516
2457297.95836,bd,11.698,0.02,80.317,1.478
2457673.84928,bd,11.629,0.02,85.572,1.575
2457589.97315,bd,11.641,0.02,84.604,1.557
2457319.69794,bc,11.705,0.02,80.262,1.477
2458064.92926,bd,11.472,0.02,98.867,1.819
2458413.82924,bd,11.368,0.02,108.865,2.003
2458447.83787,bd,11.048,0.02,146.077,2.688
2457585.95558,bc,11.703,0.02,80.348,1.478
2457930.04628,bd,11.591,0.02,88.619,1.631
2458428.79061,bd,11.729,0.02,78.008,1.435
2457720.82946,bc,11.616,0.02,87.105,1.603
2457194.06569,bd,11.188,0.02,128.413,2.363
2457909.0933,bd,11.68,0.02,81.611,1.502
2457680.92988,bc,11.507,0.02,96.287,1.772
2458045.97962,bd,10.995,0.02,153.483,2.824
