hjd,camera,mag,mag_err,flux,flux_err
2457357.70653,be,12.337,0.02,44.582,0.82
2458007.62485,be,12.33,0.02,44.884,0.826
2458341.83174,bf,12.205,0.02,49.888,0.918
2457308.66492,bf,12.289,0.02,46.159,0.849
2458067.79492,bf,12.249,0.02,47.915,0.882
2456909.81409,be,12.227,0.02,49.341,0.908
2457929.82324,bf,12.218,0.02,49.282,0.907
2457664.56495,be,12.284,0.02,46.787,0.861
2457710.7274,bf,12.195,0.02,50.357,0.927
2457592.9292,be,12.272,0.02,47.328,0.871
2456859.85858,bf,12.404,0.02,41.54,0.764
2457329.62501,be,12.228,0.02,49.274,0.907
2458095.53755,be,12.226,0.02,49.381,0.909
2457694.61951,be,12.225,0.02,49.423,0.909
2457427.52867,bf,12.271,0.02,46.947,0.864
2456886.74672,be,12.356,0.02,43.796,0.806
2458008.91093,be,12.23,0.02,49.183,0.905
2457287.77678,bf,12.24,0.02,48.293,0.889
2458043.49228,be,12.255,0.02,48.09,0.885
2457740.68576,bf,12.256,0.02,47.594,0.876
2457662.66332,be,12.237,0.02,48.884,0.899
2458071.63219,be,12.252,0.02,48.189,0.887
2458090.6163,be,12.251,0.02,48.255,0.888
2457749.58401,bf,12.263,0.02,47.301,0.87
2457278.77108,bf,12.215,0.02,49.439,0.91
2458119.59557,bf,12.241,0.02,48.271,0.888
2457546.88509,be,12.273,0.02,47.299,0.87
2457659.6174,be,12.236,0.02,48.933,0.9
2457187.82062,be,12.277,0.02,47.1,0.867
2456930.55316,bf,12.268,0.02,47.08,0.866
2458102.69553,bf,12.265,0.02,47.177,0.868
2456922.79468,be,12.245,0.02,48.517,0.893
2457050.55675,bf,12.243,0.02,48.15,0.886
2457718.6665,be,12.27,0.02,47.427,0.873
2457044.54773,bf,12.282,0.02,46.448,0.855
2458067.76803,be,12.272,0.02,47.328,0.871
2456855.79384,be,12.228,0.02,49.266,0.906
2458090.73148,bf,12.251,0.02,47.823,0.88
2457337.66007,be,12.25,0.02,48.308,0.889
2457175.87446,bf,12.296,0.02,45.879,0.844
2457967.71979,bf,12.211,0.02,49.606,0.913
2456888.74098,be,12.257,0.02,47.987,0.883
2457738.6631,be,12.287,0.02,46.686,0.859
2456929.57607,bf,12.267,0.02,47.095,0.867
2457346.73769,be,12.295,0.02,46.325,0.852
2458028.65286,be,12.282,0.02,46.888,0.863
2456921.79723,be,12.374,0.02,43.072,0.793
2457362.7215,bf,12.243,0.02,48.166,0.886
2457169.86581,be,12.249,0.02,48.343,0.89
2456908.87012,be,12.277,0.02,47.094,0.867
2457034.58132,bf,12.259,0.02,47.445,0.873
2457353.71955,be,12.235,0.02,48.949,0.901
2457424.52263,bf,12.273,0.02,46.847,0.862
2458300.78664,be,12.231,0.02,49.145,0.904
2457002.56437,be,12.251,0.02,48.266,0.888
2457184.85032,bf,12.316,0.02,45.035,0.829
2456930.66952,be,12.27,0.02,47.41,0.872
2457936.82829,be,12.298,0.02,46.199,0.85
2457023.62421,bf,12.274,0.02,46.814,0.861
2458370.73287,bf,12.251,0.02,47.819,0.88
2457377.5552,bf,12.284,0.02,46.361,0.853
2457776.54501,be,12.274,0.02,47.229,0.869
2457599.88758,be,12.261,0.02,47.813,0.88
2457715.72623,bf,12.24,0.02,48.294,0.889
2457221.75968,bf,12.255,0.02,47.654,0.877
2458308.8724,bf,12.275,0.02,46.781,0.861
2458016.68303,be,12.276,0.02,47.146,0.867
2457425.53391,bf,13.473,0.02185,15.507,0.312
2457357.73835,bf,12.303,0.02,45.564,0.838
2456877.68444,be,12.232,0.02,49.121,0.904
2457576.873,bf,12.44,0.02,40.179,0.739
2458351.67557,bf,12.265,0.02,47.177,0.868
2456980.58536,be,12.241,0.02,48.684,0.896
2456999.57864,bf,12.246,0.02,48.04,0.884
2456838.85352,bf,12.22,0.02,49.187,0.905
2458086.6788,be,12.256,0.02,48.044,0.884
2457765.57941,be,12.272,0.02,47.311,0.871
2458331.77835,bf,12.269,0.02,47.024,0.865
2458107.59062,be,13.58,0.02195,14.194,0.287
2458003.83513,be,12.242,0.02,48.664,0.895
2457979.83359,bf,12.293,0.02,45.975,0.846
2456828.84828,be,12.233,0.02,49.077,0.903
2457395.59174,be,12.358,0.02,43.738,0.805
2458099.70505,bf,12.316,0.02,45.017,0.828
2457710.73095,be,12.231,0.02,49.133,0.904
2458072.62891,be,12.319,0.02,45.326,0.834
2458314.79125,bf,12.222,0.02,49.104,0.904
2458068.7139,be,12.241,0.02,48.708,0.896
2458306.90937,bf,12.235,0.02,48.518,0.893
2457251.89866,bf,12.308,0.02,45.37,0.835
2457560.80357,be,13.477,0.02185,15.595,0.313
2457218.76669,bf,12.254,0.02,47.67,0.877
2457151.91375,be,12.302,0.02,46.033,0.847
2457789.52289,bf,12.25,0.02,47.84,0.88
2458344.82125,bf,12.232,0.02,48.675,0.896
2457721.66868,be,12.248,0.02,48.372,0.89
2456790.90933,bf,12.283,0.02,46.432,0.854
2458309.86496,bf,12.262,0.02,47.314,0.871
2456936.64446,be,12.241,0.02,48.676,0.896
2457668.60913,bf,12.27,0.02,46.959,0.864
2458340.70288,be,12.278,0.02,47.073,0.866
2457386.5641,be,12.251,0.02,48.231,0.887
2457199.90084,be,12.226,0.02,49.392,0.909
2456967.74241,be,12.276,0.02,47.166,0.868
2458380.57395,be,12.305,0.02,45.912,0.845
2457924.93597,be,12.236,0.02,48.925,0.9
2458050.49585,be,12.292,0.02,46.467,0.855
2458366.8151,be,12.28,0.02,46.986,0.865
2457547.88122,be,12.274,0.02,47.233,0.869
2457348.759,bf,12.231,0.02,48.72,0.896
2458102.66796,be,12.274,0.02,47.237,0.869
2457761.61243,bf,12.297,0.02,45.841,0.843
2457283.83902,be,12.264,0.02,47.66,0.877
2458243.92455,be,12.268,0.02,47.484,0.874
2457934.83591,bf,12.28,0.02,46.532,0.856
2457206.78692,bf,12.268,0.02,47.07,0.866
2457354.5709,be,12.278,0.02,47.08,0.866
2456918.80939,be,12.266,0.02,47.604,0.876
2457030.56083,bf,12.328,0.02,44.54,0.82
2457781.53106,be,12.229,0.02,49.242,0.906
2457371.61877,be,12.372,0.02,43.16,0.794
2457671.79247,be,12.397,0.02,42.172,0.776
2456906.63077,bf,12.257,0.02,47.545,0.875
2458338.80032,bf,12.219,0.02,49.245,0.906
2456979.61814,bf,12.262,0.02,47.326,0.871
2457156.89834,be,12.247,0.02,48.42,0.891
2456973.59941,be,12.346,0.02,44.19,0.813
2456836.8399,bf,12.25,0.02,47.841,0.88
2457397.58296,be,12.25,0.02,48.283,0.888
2458021.70895,be,12.251,0.02,48.237,0.888
2457220.73414,be,12.254,0.02,48.112,0.885
2457529.89434,be,12.233,0.02,49.049,0.902
2457317.73114,be,12.276,0.02,47.132,0.867
2457370.67132,be,12.269,0.02,47.447,0.873
2457277.75601,bf,12.196,0.02,50.273,0.925
2457776.52967,bf,12.256,0.02,47.58,0.875
2458055.5063,be,12.269,0.02,47.457,0.873
2457327.72241,bf,12.32,0.02,44.851,0.825
2457308.63682,be,12.278,0.02,47.053,0.866
2457278.60358,be,12.266,0.02,47.6,0.876
2456976.65197,be,12.264,0.02,47.695,0.878
2458083.73796,bf,12.283,0.02,46.415,0.854
2457329.63308,bf,12.252,0.02,47.768,0.879
2457324.71037,bf,12.295,0.02,45.93,0.845
2458358.73613,bf,12.249,0.02,47.885,0.881
2457306.68147,be,12.328,0.02,44.942,0.827
2457634.91524,bf,12.231,0.02,48.695,0.896
2458111.63711,be,12.228,0.02,49.298,0.907
2458056.50304,be,12.296,0.02,46.28,0.852
2457361.69458,be,12.246,0.02,48.488,0.892
2458013.69702,be,12.254,0.02,48.111,0.885
2458111.67155,bf,12.176,0.02,51.229,0.943
2456937.73606,be,12.262,0.02,47.765,0.879
2457699.54086,bf,12.26,0.02,47.405,0.872
2456885.77192,bf,12.247,0.02,47.979,0.883
2457945.75309,be,12.266,0.02,47.604,0.876
2457739.65962,be,12.717,0.02,31.4,0.578
2457557.84014,bf,12.251,0.02,47.805,0.88
2458045.55121,be,12.324,0.02,45.095,0.83
2458050.50768,bf,12.328,0.02,44.542,0.82
2457536.917,be,12.27,0.02,47.403,0.872
2458003.67716,bf,12.267,0.02,47.105,0.867
2458018.64108,be,12.279,0.02,47.006,0.865
2457910.84679,be,12.255,0.02,48.058,0.884
2457190.80764,be,12.248,0.02,48.371,0.89
2457422.54345,bf,12.33,0.02,44.455,0.818
2457384.65809,bf,12.327,0.02,44.562,0.82
2458045.53969,bf,12.359,0.02,43.291,0.797
2457204.76834,be,12.23,0.02,49.184,0.905
2458323.76574,bf,12.253,0.02,47.736,0.878
2457374.68812,bf,12.259,0.02,47.472,0.873
2456955.64348,bf,12.251,0.02,47.81,0.88
2457771.55843,be,12.294,0.02,46.395,0.854
2456903.73235,be,12.263,0.02,47.727,0.878
2457782.52679,bf,12.331,0.02,44.401,0.817
2457218.74392,be,12.245,0.02,48.526,0.893
2457724.65078,be,12.241,0.02,48.695,0.896
2457545.85282,be,12.237,0.02,48.874,0.899
2457282.8326,be,12.278,0.02,47.076,0.866
2456925.68892,be,12.232,0.02,49.122,0.904
2456809.88102,bf,12.218,0.02,49.296,0.907
2457700.68912,be,12.24,0.02,48.725,0.897
2457185.83641,be,12.242,0.02,48.668,0.895
2457566.88842,be,12.273,0.02,47.278,0.87
2458015.85243,bf,12.306,0.02,45.43,0.836
2456919.68511,be,12.283,0.02,46.837,0.862
2457774.53426,bf,12.358,0.02,43.338,0.797
2457675.53466,be,12.244,0.02,48.561,0.894
2458009.85084,be,12.282,0.02,46.876,0.863
2458012.63038,bf,12.285,0.02,46.339,0.853
2457996.61998,be,12.369,0.02,43.268,0.796
2457784.52579,bf,12.273,0.02,46.866,0.862
2457559.83435,bf,12.261,0.02,47.374,0.872
2458094.64898,be,12.273,0.02,47.271,0.87
2457221.73594,be,12.256,0.02,48.009,0.883
2458324.77989,be,12.273,0.02,47.301,0.87
2456850.75562,be,12.22,0.02,49.663,0.914
2456915.71929,bf,12.258,0.02,47.5,0.874
2457560.83081,bf,13.589,0.02198,13.942,0.282
2457423.53917,bf,12.278,0.02,46.636,0.858
2457141.92902,be,12.272,0.02,47.32,0.871
2456796.91522,bf,12.294,0.02,45.971,0.846
2456859.86562,be,12.355,0.02,43.857,0.807
2457774.5527,be,12.36,0.02,43.642,0.803
2457730.65225,be,12.252,0.02,48.189,0.887
2456920.79228,be,12.229,0.02,49.246,0.906
