hjd,camera,mag,mag_err,flux,flux_err
2457412.75201,bd,13.637,0.02207,13.463,0.273
2457979.047,bd,13.136,0.02269,21.359,0.446
2457391.74165,bc,13.173,0.02291,22.142,0.467
2457297.92674,bc,13.151,0.02305,22.592,0.479
2457997.03026,bd,13.172,0.02251,20.657,0.428
2457215.98068,bc,13.156,0.02302,22.484,0.476
2457652.85601,bd,13.149,0.02262,21.095,0.439
2457216.0436,bd,13.197,0.02239,20.187,0.416
2457670.92277,bd,13.177,0.02248,20.568,0.425
2457744.80971,bc,13.173,0.02291,22.142,0.467
2457161.11945,bc,13.133,0.02318,22.964,0.49
2458048.73541,bc,13.223,0.02263,21.137,0.44
2457314.81014,bc,14.915,0.03625,4.45,0.148
2457578.9895,bc,13.152,0.02305,22.571,0.479
2457275.98079,bc,13.236,0.02257,20.881,0.433
2457758.74506,bd,13.18,0.02247,20.5,0.424
2457012.71938,bc,13.168,0.02295,22.248,0.47
2457980.9524,bc,13.21,0.0227,21.387,0.447
2457309.72431,bc,14.546,0.02923,6.25,0.168
2458055.74676,bd,13.158,0.02257,20.925,0.435
2458045.72594,bc,13.158,0.02301,22.451,0.475
2457009.73647,bc,13.177,0.02289,22.048,0.464
2457960.12407,bd,13.145,0.02264,21.174,0.441
2457419.73334,bd,13.17,0.02252,20.693,0.429
2457390.82889,bd,13.138,0.02268,21.324,0.445
2457600.0226,bd,13.141,0.02266,21.262,0.443
2457678.95642,bd,13.172,0.02251,20.658,0.428
2457671.89894,bc,13.174,0.02291,22.114,0.466
2458060.88928,bd,13.18,0.02247,20.514,0.424
2457223.02109,bd,13.237,0.02224,19.46,0.398
2457630.90407,bc,14.169,0.02468,8.847,0.201
2457286.95731,bc,13.179,0.02288,22.007,0.463
2457686.97539,bc,13.153,0.02304,22.538,0.478
2457262.92923,bd,13.138,0.02268,21.32,0.445
2458070.9783,bd,13.178,0.02248,20.548,0.425
2457195.05456,bc,13.154,0.02303,22.523,0.477
2457251.88664,bc,13.176,0.0229,22.07,0.465
2457614.91554,bc,13.137,0.02315,22.884,0.487
2457669.78117,bd,13.222,0.02229,19.733,0.405
2458066.99421,bd,13.173,0.0225,20.635,0.427
2457946.03071,bd,13.175,0.02249,20.601,0.426
2457686.8417,bd,13.132,0.02271,21.441,0.448
2458034.92667,bd,14.503,0.02974,6.066,0.166
