hjd,camera,mag,mag_err,flux,flux_err
2457710.95336,bc,11.958,0.02,63.193,1.163
2457746.95138,bd,12.272,0.02,49.086,0.903
2457071.74359,bc,12.136,0.02,53.654,0.987
2458451.90949,bc,12.496,0.02,38.516,0.709
2457721.98733,bc,12.201,0.02,50.547,0.93
2457369.85252,bd,12.199,0.02,52.536,0.967
2457746.9093,bc,12.229,0.02,49.224,0.906
2457358.9568,bd,11.972,0.02,64.744,1.191
2457219.11881,bc,12.079,0.02,56.518,1.04
2457971.08396,bd,12.298,0.02,47.948,0.882
2457364.84595,bc,12.504,0.02,38.239,0.704
2458184.73092,bd,11.983,0.02,64.066,1.179
2458344.0534,bc,12.227,0.02,49.312,0.907
2457709.00619,bc,12.339,0.02,44.487,0.819
2458413.87194,bd,11.994,0.02,63.426,1.167
2458368.1065,bd,12.224,0.02,51.318,0.944
2457965.07503,bc,12.017,0.02,59.856,1.101
2457343.96716,bc,12.0,0.02,60.792,1.119
2457389.86322,bd,12.457,0.02,41.426,0.762
2457986.06857,bd,12.569,0.02,37.366,0.688
2457011.88303,bd,12.461,0.02,41.244,0.759
2457756.88984,bc,12.495,0.02,38.539,0.709
2457453.73058,bd,12.468,0.02,40.992,0.754
2457603.09186,bd,12.266,0.02,49.371,0.908
2457329.9496,bc,12.288,0.02,46.637,0.858
2458077.99115,bc,12.088,0.02,56.051,1.031
2458021.00056,bc,11.994,0.02,61.157,1.125
2457675.89421,bd,12.51,0.02,39.45,0.726
2457271.11386,bc,12.02,0.02,59.706,1.099
2458082.78836,bd,12.344,0.02,45.947,0.845
2457304.00369,bd,12.1,0.02,57.526,1.058
2457409.8116,bc,11.977,0.02,62.097,1.143
2457391.88223,bc,11.976,0.02,62.16,1.144
